ticker,permno,first_year,last_year,rows
10425,10425,1993,1998,1114
10426,10426,1993,1995,434
10429,10429,1993,1994,430
10431,10431,1993,1993,8
10432,10432,1993,1993,184
10434,10434,1993,1997,1255
10438,10438,1993,1996,488
10439,10439,1993,2000,1759
10442,10442,1993,2000,1606
10443,10443,1993,2020,5672
10446,10446,1993,1999,1025
10449,10449,1993,2002,2102
10451,10451,1993,1997,1042
10453,10453,1993,2005,1178
10454,10454,1993,1993,62
10455,10455,1993,1998,1299
10456,10456,1993,2000,1725
10457,10457,1993,1997,717
10458,10458,1993,1998,1394
10460,10460,1993,1997,1156
10461,10461,1993,1998,1410
10462,10462,1993,1997,1107
10463,10463,1993,2020,7047
10467,10467,1993,2002,2389
10476,10476,1993,1993,61
10481,10481,1993,1994,380
10484,10484,1993,2001,2051
10488,10488,1993,2006,2089
10493,10493,1993,1995,709
10494,10494,1993,1998,1382
10496,10496,1993,1996,851
10500,10500,1993,1995,394
10501,10501,1993,2020,6758
10506,10506,1993,1998,1242
10507,10507,1993,2014,5455
10513,10513,1993,2000,1859
10514,10514,1993,2020,6923
10515,10515,1993,1998,1477
10516,10516,1993,2020,7051
10517,10517,1993,2020,5658
10519,10519,1993,1993,46
10520,10520,1993,1994,255
10527,10527,1993,1999,1424
10530,10530,1993,2020,7046
10531,10531,1993,2000,1938
10536,10536,1993,2001,1041
10537,10537,1993,1995,717
10542,10542,1993,1993,57
10544,10544,1993,1995,684
10545,10545,1993,2000,1893
10546,10546,1993,1993,72
10547,10547,1993,2020,6868
10550,10550,1993,2020,6709
10551,10551,1993,1997,980
10555,10555,1993,1995,664
10557,10557,1993,1994,326
10560,10560,1993,2007,3699
10561,10561,1993,1995,672
10562,10562,1993,2009,4048
10563,10563,1993,2010,4267
10564,10564,1993,2002,2337
10566,10566,1993,1997,852
10568,10568,1993,2011,2506
10569,10569,1993,1996,978
10571,10571,1993,2003,2396
10572,10572,1993,1998,1317
10573,10573,1993,1997,792
10574,10574,1993,2008,3906
10578,10578,1993,1995,343
10580,10580,1993,1995,595
10581,10581,1993,1994,354
10586,10586,1993,2008,2542
10588,10588,1993,2003,2309
10594,10594,1993,2002,2270
10596,10596,1993,1997,940
10597,10597,1993,2010,4120
10598,10598,1993,1999,1146
10603,10603,1993,1999,1470
10604,10604,1993,2000,1841
10605,10605,1993,1999,1262
10606,10606,1993,2020,7050
10608,10608,1993,1997,748
10610,10610,1993,1995,720
10611,10611,1993,1998,1446
10622,10622,1993,2004,1382
10623,10623,1993,2007,3694
10624,10624,1993,2000,1642
10628,10628,1993,2001,1721
10629,10629,1993,2020,7007
10630,10630,1993,1994,205
10632,10632,1993,1995,464
10633,10633,1993,1996,575
10634,10634,1993,1996,901
10636,10636,1993,1995,536
10637,10637,1993,2002,1836
10638,10638,1993,2010,4048
10644,10644,1993,2013,5242
10645,10645,1993,2020,6710
10646,10646,1993,1997,1228
10649,10649,1993,2020,6789
10650,10650,1993,2006,1595
10651,10651,1993,1994,268
10652,10652,1993,1993,12
10654,10654,1993,1997,874
10656,10656,1993,2019,6435
10657,10657,1993,2007,3563
10658,10658,1993,2000,1407
10659,10659,1993,2015,5446
10660,10660,1993,1993,1
10661,10661,1993,2020,6877
10664,10664,1993,1995,62
10667,10667,1993,2016,5895
10669,10669,1993,1995,625
10670,10670,1993,1995,506
10675,10675,1993,1998,965
10676,10676,1993,1995,393
10680,10680,1993,2003,2228
10682,10682,1993,2007,2784
10683,10683,1993,1996,774
10684,10684,1993,1994,109
10685,10685,1994,2001,1789
10687,10687,1993,1994,273
10688,10688,1993,1997,1018
10689,10689,1993,1993,2
10691,10691,1993,2005,3103
10693,10693,1993,2020,6141
10696,10696,1993,2020,7049
10697,10697,1993,1994,344
10702,10702,1993,1995,658
10704,10704,1993,1997,980
10705,10705,1993,1994,447
10706,10706,1993,1999,1480
10709,10709,1993,2008,3291
10710,10710,1993,1994,267
10713,10713,1993,1999,1492
10714,10714,1993,1997,1131
10715,10715,1993,1995,276
10716,10716,1994,1998,1009
10718,10718,1993,1995,402
10721,10721,1993,1997,1004
10724,10724,1993,1997,1113
10725,10725,1993,2004,2938
10726,10726,1994,2001,1390
10730,10730,1993,1996,662
10731,10731,1993,2000,1868
10733,10733,1993,1995,250
10738,10738,1993,1998,1283
10739,10739,1993,1994,504
10743,10743,1993,1993,132
10745,10745,1993,2001,1401
10749,10749,1993,2001,896
10750,10750,1993,2001,2015
10752,10752,1993,2000,2011
10753,10753,1993,2001,2041
10755,10755,1993,2001,2187
10757,10757,1993,1998,1216
10758,10758,1993,1993,11
10761,10761,1993,2004,2419
10762,10762,1993,1994,415
10765,10765,1993,1995,750
10768,10768,1993,1996,767
10769,10769,1993,2012,3740
10770,10770,1993,1997,856
10771,10771,1993,1994,97
10772,10772,1993,2013,3032
10774,10774,1993,1994,304
10775,10775,1993,1998,1403
10777,10777,1993,2020,6953
10779,10779,1993,2020,6282
10780,10780,1993,2002,2225
10781,10781,1993,2020,4972
10783,10783,1993,1993,206
10785,10785,1993,2010,4184
10786,10786,1993,2002,2377
10788,10788,1993,1994,259
10790,10790,1993,2000,1829
10791,10791,1993,2005,3237
10792,10792,1993,1993,162
10799,10799,1993,1997,712
10800,10800,1993,2001,2042
10803,10803,1993,1999,1742
10806,10806,1993,2001,1794
10809,10809,1993,1997,1045
10812,10812,1993,2020,7021
10814,10814,1993,1997,799
10818,10818,1993,1999,1740
10820,10820,1993,1995,538
10821,10821,1993,1999,1007
10822,10822,1993,2011,3506
10823,10823,1993,1998,1365
10825,10825,1993,2010,4446
10827,10827,1993,1995,635
10828,10828,1993,2004,2555
10830,10830,1993,1997,740
10833,10833,1993,1994,233
10834,10834,1993,1996,929
10835,10835,1993,1995,591
10837,10837,1993,1998,1430
10838,10838,1993,2019,6650
10839,10839,1993,1993,110
10841,10841,1993,1994,190
10842,10842,1993,1995,607
10843,10843,1993,2007,3673
10845,10845,1993,1995,619
10847,10847,1993,1999,1367
10849,10849,1993,1994,277
10851,10851,1993,1995,141
10853,10853,1993,2016,5799
10854,10854,1993,1998,1290
10857,10857,1993,2000,1823
10860,10860,1993,2020,7049
10862,10862,1993,1996,797
10863,10863,1993,2001,1785
10866,10866,1993,2020,7051
10867,10867,1993,1995,690
10869,10869,1993,1993,58
10870,10870,1993,1998,1486
10872,10872,1993,1994,331
10873,10873,1993,1997,838
10874,10874,1993,2020,7051
10875,10875,1993,1996,731
10876,10876,1993,2004,2757
10878,10878,1993,1998,1069
10879,10879,1993,1997,1147
10880,10880,1993,1996,689
10881,10881,1993,2007,3470
10886,10886,1993,2020,7018
10888,10888,1993,1994,118
10889,10889,1993,1999,1509
10890,10890,1993,2020,7051
10892,10892,1993,2020,7038
10893,10893,1993,1997,1097
10897,10897,1993,1995,250
10901,10901,1993,2020,6026
10902,10902,1996,2000,810
10905,10905,1993,1998,778
10906,10906,1993,2005,3062
10908,10908,1993,2004,2438
10909,10909,1993,2020,7051
10910,10910,1993,1993,56
10913,10913,1993,2018,5905
10914,10914,1993,1997,1156
10916,10916,1993,2007,3092
10924,10924,1993,2009,3673
10926,10926,1993,2006,2855
10928,10928,1993,2002,2425
10929,10929,1993,1999,1552
